Country,Year (Player Count),Player %,Player Count (Player Count)
China,2025,0.203,192381.07
Russia,2025,0.2,189538
United States,2025,0.08,75815.2
Ukraine,2025,0.04,37907.6
Brazil,2025,0.038,36012.22
Peru,2025,0.035,33169.15
Japan,2025,0.032,30326.08
Germany,2025,0.022,20849.18
United Kingdom,2025,0.02,18953.8
Canada,2025,0.02,18953.8
KZ,2025,0.015,14215.35
Argentina,2025,0.011,10456
Turkey,2025,0.011,10453
BY,2025,0.011,10420
Poland,2025,0.011,10414
Australia,2025,0.01,9476.9
France,2025,0.008,7589
Sweden,2025,0.008,7582
Philippines,2025,0.008,7570
Thailand,2025,0.008,7565
Hong Kong,2025,0.007,6633.83
Czech Republic,2025,0.006,5689
Spain,2025,0.006,5686.14
Malaysia,2025,0.006,5670
Italy,2025,0.006,5666
Chile,2025,0.006,5651
NE,2025,0.005,4738.45
Finland,2025,0.005,4738.45
South Korea,2025,0.005,4738.45
Indonesia,2025,0.005,4738.45
Romania,2025,0.005,4738.45
India,2025,0.004,3794
Netherlands,2025,0.004,3790.76
Mexico,2025,0.004,3783
Norway,2025,0.004,3780
RS,2025,0.004,3778
Vietnam,2025,0.003,3771
Singapore,2025,0.003,3760
South Africa,2025,0.003,2849
Denmark,2025,0.003,2843.07
Portugal,2025,0.003,2841
Switzerland,2025,0.003,2840
Israel,2025,0.003,2835
AF,2025,0.002,1899
BO,2025,0.002,1895.38
EC,2025,0.002,1891
Taiwan,2025,0.002,1887
CC,2025,0.002,1881
EE,2025,0.002,1880
New Zealand,2025,0.002,1870
