2nd Runner-Up,Battle Pass Model,Change vs Previous Year %,Emblem's URLs,External Factors,Highest Win Rate Hero,Key Structural Reason,Location,Most Picked Role,Most Picked Teamfight Hero,Most Played Hero,MVP,Runner-Up,Selected Year,Winner,Year,Avg Game Duration (min),Avg Kills per Game,Prize Pool (USD),Runner-Up Score,Unique Heroes Picked,Winner Score
Scythe Gaming,None,—,,—,Pudge,Fully Valve-funded,Cologne,Mid,Tidehunter,Pudge,Danil 'Dendi' Ishutin,EHOME,FALSE,Natus Vincere,01/01/2011,42,38,1600000,1,85,3
PSG.LGD,None,0%,,—,Storm Spirit,Fully Valve-funded,Seattle,Mid,Sand King,Storm Spirit,Zhou 'Zhou' Yang,Natus Vincere,FALSE,Invictus Gaming,01/01/2012,40,41,1600000,1,88,3
Orange Esports,Introduced Compendium,79%,,—,Nyx Assassin,Start of crowdfunding,Seattle,Offlane,Magnus,Nyx Assassin,Gustav 's4' Magnusson,Natus Vincere,FALSE,Alliance,01/01/2013,41,44,2874380,2,92,3
Evil Geniuses,Compendium Expanded,280%,,—,Invoker,25% of sales added to pool,Seattle,Mid,Earthshaker,Invoker,Zhang 'Mu' Pan,Vici Gaming,FALSE,Newbee,01/01/2014,38,42,10923977,1,95,3
PSG.LGD,Battle Pass Era,69%,,—,Anti-Mage,Strong cosmetic sales,Seattle,Mid,Magnus,Anti-Mage,Syed Sumail 'SumaiL' Hassan,CDEC Gaming,FALSE,Evil Geniuses,01/01/2015,37,43,18429613,1,98,3
Evil Geniuses,Battle Pass,13%,,—,Earth Spirit,Mature monetization model,Seattle,Support,Dark Seer,Earth Spirit,Zhou 'Shadow' Yang,Digital Chaos,FALSE,Wings Gaming,01/01/2016,39,47,20770460,1,100,3
LGD.Forever Young,Battle Pass,19%,,—,Ember Spirit,Growing global base,Seattle,Mid,Magnus,Ember Spirit,Amer 'Miracle-' Al-Barkawi,Newbee,FALSE,Team Liquid,01/01/2017,36,47,24787916,0,103,3
Evil Geniuses,Battle Pass,3%,,—,Io,Market stabilization,Vancouver,Support,Magnus,IO,Johan 'N0tail' Sundstein,PSG.LGD,FALSE,OG,01/01/2018,35,45,25532177,2,110,3
PSG.LGD,Battle Pass,34%,,—,Pugna,Peak engagement year,Shanghai,Mid,Mars,Pugna,Topias 'Topson' Taavitsainen,Team Liquid,FALSE,OG,01/01/2019,34,44,34330068,1,112,3
Team Secret,Battle Pass,16%,,COVID lockdown viewership surge,Morphling,Pandemic engagement spike,Bucharest,Offlane,Tidehunter,Morphling,Magomed 'Collapse' Khalilov,PSG.LGD,TRUE,Team Spirit,01/01/2021,36,44,40018195,2,113,3
Team Liquid,Battle Pass Split,-52%,,Post-pandemic normalization,Tiny,Two-part Battle Pass; delayed revenue,Singapore,Mid,Mars,Tiny,Leon 'Nine' Kirilin,Team Secret,FALSE,Tundra Esports,01/01/2022,35,40,18930775,0,115,3
PSG.LGD,No Traditional Battle Pass,-83%,,Monetization shifted to updates,Monkey King,Valve removed Battle Pass focus,Seattle,Mid,Mars,Monkey King,Denis 'Larl' Sigitov,Gaimin Gladiators,FALSE,Team Spirit,01/01/2023,33,41,3143063,0,118,3
Tundra Esports,No Battle Pass,-17%,,Structural ecosystem redesign,Arc Warden,No crowdfunding system,Copenhagen,Carry,Tidehunter,Arc Warden,Michael 'miCKe' Vu,Gaimin Gladiators,FALSE,Team Liquid,01/01/2024,32,43,2602164,0,120,3
Parivision,No traditional Battle Pass (Compendium-style),11%,,"Lower crowdfunding, stable patch",Chen,Swiss stage + refined double-elimination,Hamburg,Offlane,Earthshaker,Lion,Ammar “AMMAR_THE_F” Alassaf,Xtreme Gaming,FALSE,Team Falcons,01/01/2025,38,47,2881791,2,115,3
