Player,Team,Year (TI Winners),Approx Total Winnings,Count
N0tail,OG,2018,7172437,1
N0tail,OG,2019,7172437,1
JerAx,OG,2018,6486075,1
JerAx,OG,2019,6486075,1
Miposhka,Team Spirit,2021,6227771,1
Miposhka,Team Spirit,2023,6227771,1
ana,OG,2018,6024412,1
ana,OG,2019,6024412,1
Ceb,OG,2018,5949443,1
Ceb,OG,2019,5949443,1
Yatoro,Team Spirit,2021,5932736,1
Yatoro,Team Spirit,2023,5932736,1
Collapse,Team Spirit,2021,5928111,1
Collapse,Team Spirit,2023,5928111,1
Topson,OG,2018,5901739,1
Topson,OG,2019,5901739,1
Mira,Team Spirit,2021,5638899,1
Mira,Team Spirit,2023,5638899,1
KuroKy,Team Liquid,2017,5293199,1
Miracle-,Team Liquid,2017,4913585,1
MATUMBAMAN,Team Liquid,2017,4873086,1
MinD_ContRoL,Team Liquid,2017,4704032,1
TORONTOTOKYO,Team Spirit,2021,4539864,1
GH,Team Liquid,2017,4359887,1
Puppey,Natus Vincere,2011,4291416,1
SumaiL,Evil Geniuses,2015,4137055,1
y`,Wings Gaming,2016,4048742,1
Faith_bian,Wings Gaming,2016,3958982,1
Saksa,Tundra Esports,2022,3659111,1
33,Tundra Esports,2022,3413479,1
s4,Alliance,2013,2706652,1
Faith,Invictus Gaming,2012,1770213,1
Dendi,Natus Vincere,2011,829826,1
ChuaN,Invictus Gaming,2012,735666,1
Loda,Alliance,2013,701471,1
EGM,Alliance,2013,674866,1
XBOCT,Natus Vincere,2011,664343,1
Akke,Alliance,2013,645030,1
AdmiralBulldog,Alliance,2013,643477,1
Ferrari_430,Invictus Gaming,2012,592024,1
YYF,Invictus Gaming,2012,433193,1
Zhou,Invictus Gaming,2012,294134,1
LighTofHeaveN,Natus Vincere,2011,284281,1
Hao,Newbee,2014,0,1
Mu,Newbee,2014,0,1
xiao8,Newbee,2014,0,1
Banana,Newbee,2014,0,1
SanSheng,Newbee,2014,0,1
Fear,Evil Geniuses,2015,0,1
Universe,Evil Geniuses,2015,0,1
Aui_2000,Evil Geniuses,2015,0,1
ppd,Evil Geniuses,2015,0,1
shadow,Wings Gaming,2016,0,1
bLink,Wings Gaming,2016,0,1
iceice,Wings Gaming,2016,0,1
skiter,Tundra Esports,2022,0,1
Nine,Tundra Esports,2022,0,1
Sneyking,Tundra Esports,2022,0,1
Larl,Team Spirit,2023,0,1
